nome,estado,regiao,partido,posicao,gastos.total,presencas.total
Marçal Gonçalves Leite Filho,MS,Centro-oeste,PMDB,Governo,140174.85,180
Marcelo Theodoro De Aguiar,SP,Sudeste,PSD,Independente,138256.22,187
Marcelo Costa E Castro,PI,Nordeste,PMDB,Governo,147357.75,174
Marcelo Viviani Gonçalves,RJ,Sudeste,PDT,Governo,73358.68,177
Márcio Miguel Bittar,AC,Norte,PSDB,Oposicao,99227.83,175
Márcio Costa Macêdo,SE,Nordeste,PT,Governo,70022.05,158
Márcio Carlos Marinho,BA,Nordeste,PRB,Governo,149046.7,198
Márcio Reinaldo Dias Moreira,MG,Sudeste,PP,Governo,149171.72,195
Marco Aurélio Spall Maia,RS,Sul,PT,Governo,45841.74,192
Anthony William Garotinho Matheus De Oliveira,RJ,Sudeste,PR,Independente,91811.8,196
Dionilso Mateus Marcon,RS,Sul,PT,Governo,107545.09,160
Marcos Antonio Medrado,BA,Nordeste,PDT,Governo,145959.53,144
Marcos Montes Cordeiro,MG,Sudeste,PSD,Independente,147108.61,172
Marcus Vinícius Caetano Pestana Da Silva,MG,Sudeste,PSDB,Oposicao,110308.18,189
Marina Pignataro Santana,GO,Centro-oeste,PT,Governo,63597.24,136
Marinha Célia Rocha Raupp De Matos,RO,Norte,PMDB,Governo,84036.35,174
Mário De Oliveira,MG,Sudeste,PSC,Governo,257.75,91
Antônia Luciléia Cruz Ramos Câmara,AC,Norte,PSC,Governo,135865.19,123
Marllos Rossano Ribeiro Gonçalves De Sampaio,PI,Nordeste,PMDB,Governo,131154.8,175
Maurício Quintella Malta Lessa,AL,Nordeste,PR,Independente,154828.63,182
Maurício Gonçalves Trindade,BA,Nordeste,PR,Independente,141702.58,144
Carlos Mauro Cabral Benevides,CE,Nordeste,PMDB,Governo,157376.28,197
Mauro Ribeiro Lopes,MG,Sudeste,PMDB,Governo,110774.89,163
Mauro Mariani,SC,Sul,PMDB,Governo,133183.3,178
Mauro Nazif Rasul,RO,Norte,PSB,Governo,61102.48,195
José Mendonça Bezerra Filho,PE,Nordeste,DEM,Oposicao,142093.51,171
José De Araújo Mendonça Sobrinho,SE,Nordeste,DEM,Oposicao,143855.85,142
Miguel Corrêa Da Silva Júnior,MG,Sudeste,PT,Governo,105313.65,178
Antônio Eustáquio Andrade Ferreira,MG,Sudeste,PMDB,Governo,144294.6,181
Milton Antonio Casquel Monti,SP,Sudeste,PR,Independente,88103.37,170
Esmerino Neri Batista Filho,PA,Norte,PT,Governo,122123.53,182
Miro Teixeira,RJ,Sudeste,PDT,Governo,5248.85,200
José Olimpio Silveira Moraes,SP,Sudeste,PP,Governo,92593.15,175
Rubens Moreira Mendes Filho,RO,Norte,PSD,Independente,167222.61,156
Natan Donadon,RO,Norte,PMDB,Governo,111882.04,187
José Nazareno Cardeal Fonteles,PI,Nordeste,PT,Governo,57877.74,180
Neilton Mulim Da Costa,RJ,Sudeste,PR,Independente,130661.03,186
Nelson Roberto Bornier De Oliveira,RJ,Sudeste,PMDB,Governo,109319.69,165
Nelson Marchezan Júnior,RS,Sul,PSDB,Oposicao,46657.98,167
Antonio Balhmann Cardoso Nunes Filho,CE,Nordeste,PSB,Governo,126608.53,147
Nelson Marquezelli,SP,Sudeste,PTB,Governo,127606.07,174
Nelson Meurer,PR,Sul,PP,Governo,165989.73,181
Nelson Padovani,PR,Sul,PSC,Governo,108523.11,159
Nelson Vicente Portela Pellegrino,BA,Nordeste,PT,Governo,89639.75,165
Newton Cardoso,MG,Sudeste,PMDB,Governo,49265.52,155
Newton Lima Neto,SP,Sudeste,PT,Governo,104803.71,185
Nice Lobão,MA,Nordeste,PSD,Independente,14233.32,31
Nilton Balbino,RO,Norte,PTB,Governo,144498.24,171
Odair José Da Cunha,MG,Sudeste,PT,Governo,130116.5,190
Antonio Luiz Paranhos Ribeiro Leite De Brito,BA,Nordeste,PTB,Governo,82641.29,184
Onofre Santo Agustini,SC,Sul,PSD,Independente,64564.64,190
Onyx Dornelles Lorenzoni,RS,Sul,DEM,Oposicao,130686.96,161
Osmar Ribeiro De Almeida Júnior,PI,Nordeste,PC do B,Governo,113285.86,187
Osmar José Serraglio,PR,Sul,PMDB,Governo,97762.62,191
Osmar Gasparini Terra,RS,Sul,PMDB,Governo,91574.94,160
Otavio Santos Silva Leite,RJ,Sudeste,PSDB,Oposicao,130098.59,166
Otoniel Carlos De Lima,SP,Sudeste,PRB,Governo,135132.01,194
Oziel Alves De Oliveira,BA,Nordeste,PDT,Governo,125384.33,159
João Carlos Siqueira,MG,Sudeste,PT,Governo,116353.31,174
Antonio Carlos Martins De Bulhões,SP,Sudeste,PRB,Governo,136237.9,196
Máriton Benedito De Holanda,RO,Norte,PT,Governo,158450.68,183
José Francisco Paes Landim,PI,Nordeste,PTB,Governo,133300.59,186
Francisco Eurico Da Silva,PE,Nordeste,PSB,Governo,75046.75,175
Marco Antônio Feliciano,SP,Sudeste,PSC,Governo,105274.16,166
Pauderney Tomaz Avelino,AM,Norte,DEM,Oposicao,64553.21,192
Paulo Cesar Justo Quartiero,RR,Norte,DEM,Oposicao,141602.63,156
Paulo Roberto Foletto,ES,Sudeste,PSB,Governo,95547.89,178
Paulo Roberto Freire Da Costa,SP,Sudeste,PR,Independente,117609.3,180
Paulo Sérgio Paranhos De Magalhães,BA,Nordeste,PSD,Independente,175072.76,195
Antônio Carlos Peixoto De Magalhães Neto,BA,Nordeste,DEM,Oposicao,120996.58,186
Paulo Salim Maluf,SP,Sudeste,PP,Governo,33284.26,120
Paulo Pereira Da Silva,SP,Sudeste,PDT,Governo,44200.77,180
Paulo Piau Nogueira,MG,Sudeste,PMDB,Governo,144456.01,170
Paulo Roberto Severo Pimenta,RS,Sul,PT,Governo,99807.24,190
Paulo Rubem Santiago Ferreira,PE,Nordeste,PDT,Governo,118536.81,157
Luiz Paulo Teixeira Ferreira,SP,Sudeste,PT,Governo,130490.01,160
Paulo Wagner Leite Dantas,RN,Nordeste,PV,Independente,84304.47,168
Pedro Pinheiro Chaves,GO,Centro-oeste,PMDB,Governo,141445.55,202
Pedro Eugênio De Castro Toledo Cabral,PE,Nordeste,PT,Governo,137190.34,174
Antonio Carlos De Mendes Thame,SP,Sudeste,PSDB,Oposicao,81052.12,170
Pedro Francisco Uczai,SC,Sul,PT,Governo,134343.99,153
José Luiz De França Penna,SP,Sudeste,PV,Independente,123983.29,172
Gilberto José Spier Vargas,RS,Sul,PT,Governo,137675.27,173
Maria Perpétua De Almeida,AC,Norte,PC do B,Governo,140992.77,165
José Eleonildo Soares,MA,Nordeste,PSDB,Oposicao,169154.59,175
Roberto Policarpo Fagundes,DF,Centro-oeste,PT,Governo,16732.44,199
Sétimo Waquim,MA,Nordeste,PMDB,Governo,147515.81,173
Maria Auxiliadora Seabra Rezende,TO,Norte,DEM,Oposicao,114565.92,191
Raimundo Gomes De Matos,CE,Nordeste,PSDB,Oposicao,169883.6,188
Antonio José Imbassahy Da Silva,BA,Nordeste,PSDB,Oposicao,83828.92,193
Acelino Freitas,BA,Nordeste,PRB,Governo,59761.46,160
Carlos Roberto Massa Júnior,PR,Sul,PSC,Governo,111929.04,164
Raul Jean Louis Henry Júnior,PE,Nordeste,PMDB,Governo,142454.96,193
Raul Da Silva Lima Sobrinho,RR,Norte,PSD,Independente,166571.61,134
Rebecca Martins Garcia,AM,Norte,PP,Governo,90504.24,174
Reginaldo Lázaro De Oliveira Lopes,MG,Sudeste,PT,Governo,67382.64,176
José Antônio Machado Reguffe,DF,Centro-oeste,PDT,Governo,3858.66,202
Reinaldo Azambuja Silva,MS,Centro-oeste,PSDB,Oposicao,120572.63,191
Reinhold Stephanes,PR,Sul,PSD,Independente,90362.99,168
José Renan Vasconcelos Calheiros Filho,AL,Nordeste,PMDB,Governo,136502.37,167
Renato Delmar Molling,RS,Sul,PP,Governo,126855.15,158
Antônio Roberto Soares,MG,Sudeste,PV,Independente,107675.03,149
Renzo Do Amaral Braz,MG,Sudeste,PP,Governo,78367.15,154
Ricardo José Ribeiro Berzoini,SP,Sudeste,PT,Governo,86825.88,196
José Ricardo Alvarenga Tripoli,SP,Sudeste,PSDB,Oposicao,89475.97,147
Roberto Egídio Balestra,GO,Centro-oeste,PP,Governo,51710.02,151
Roberto Pereira De Britto,BA,Nordeste,PP,Governo,104790.84,182
Roberto Alves De Lucena,SP,Sudeste,PV,Independente,119882.29,193
Roberto João Pereira Freire,SP,Sudeste,PPS,Oposicao,61628.65,166
