nome,estado,regiao,partido,posicao,gastos.total,presencas.total
Carlos Daudt Brizola,RJ,Sudeste,PDT,Governo,42319.65,142
Bruna Dias Furlan,SP,Sudeste,PSDB,Oposicao,38395.49,176
Bruno Cavalcanti De Araújo,PE,Nordeste,PSDB,Oposicao,157956.18,163
Camilo Cola,ES,Sudeste,PMDB,Governo,15315.72,164
Cândido Elpídio De Souza Vaccarezza,SP,Sudeste,PT,Governo,111809.37,148
Carlaile Jesus Pedrosa,MG,Sudeste,PSDB,Oposicao,69824.47,180
Carlos Jose De Almeida,SP,Sudeste,PT,Governo,62068.04,182
José Alfonso Ebert Hamm,RS,Sul,PP,Governo,118762.61,147
Carlos Alberto Leréia Da Silva,GO,Centro-oeste,PSDB,Oposicao,115813.22,169
Carlos Gomes Bezerra,MT,Centro-oeste,PMDB,Governo,150809.36,158
Carlos Orleans Brandão Junior,MA,Nordeste,PSDB,Oposicao,149221.38,125
Carlos Eduardo Cintra Da Costa Pereira,PE,Nordeste,PSC,Governo,155596.81,174
Carlos Magno Ramos,RO,Norte,PP,Governo,103498.61,146
Carlos Henrique Focesi Sampaio,SP,Sudeste,PSDB,Oposicao,62807.84,166
Carlos Alberto Cavalcante De Souza,AM,Norte,PSD,Independente,91008.45,178
Carlos Alberto Rolim Zarattini,SP,Sudeste,PT,Governo,92912.29,186
Carmen Emília Bonfá Zanotto,SC,Sul,PPS,Oposicao,33942.04,176
Célia Maria Barbosa Rocha,AL,Nordeste,PTB,Governo,48430.96,162
José Alberto Oliveira Veloso Filho,MA,Nordeste,PMDB,Governo,103959.86,174
Celso Maldaner,SC,Sul,PMDB,Governo,153257.01,188
César Roberto Colnaghi,ES,Sudeste,PSDB,Oposicao,85970.77,189
Cesar Hanna Halum,TO,Norte,PSD,Independente,154180.25,169
Francisco Rodrigues De Alencar Filho,RJ,Sudeste,PSOL,Oposicao,110847.82,188
Francisco José Dangelo Pinto,RJ,Sudeste,PT,Governo,20803.21,191
Francisco Lopes Da Silva,CE,Nordeste,PC do B,Governo,133666.22,187
Maria Aparecida Borghetti,PR,Sul,PP,Governo,99006.85,159
Cláudio Cajado Sampaio,BA,Nordeste,DEM,Oposicao,101935.21,174
Claudio Alberto Castelo Branco Puty,PA,Norte,PT,Governo,111684.98,148
Cleber Verde Cordeiro Mendes,MA,Nordeste,PRB,Governo,179623.8,166
Alberto Pereira Mourão,SP,Sudeste,PSDB,Oposicao,37480.66,132
